namePlayer,season_start,slugSeason,slugTeam,idTeam,isRookie,numberPlayerSeason,idPlayer,slugSeasonType,gp,gs,fgmTotals,fgaTotals,pctFG,fg3mTotals,fg3aTotals,pctFG3,pctFT,fg2mTotals,fg2aTotals,pctFG2,agePlayer,minutesTotals,ftmTotals,ftaTotals,orebTotals,drebTotals,trebTotals,astTotals,stlTotals,blkTotals,tovTotals,pfTotals,ptsTotals,career_pts,career_rbs,career_asts,career_2pfga,career_2pfgm,career_3pfga,career_3pfgm,career_fga,career_fgm,career_fta,career_ftm,career_mins,cg,olympic_year,season_pts,season_rbs,season_asts,season_2p_pct,season_3p_pct,season_fg_pct,season_ftr,season_mpg,career_2p_pct,career_3p_pct,career_fg_pct,career_ftr,career_mpg,pts,rbs,asts,fg_2,fg_3,fg,ftr,mpg,olympic_team,above_avg_stats,above_avg_season
Dwyane Wade,2004,2004-05,MIA,1610612748,FALSE,1,2548,RS,77,77,630,1318,0.478,13,45,0.288888888888889,0.762,617,1273,0.484681853888452,23,2974,581,762,110,287,397,520,121,82,321,230,1854,21.9781783681214,4.68026565464896,5.40891840607211,15743,7905,1874,549,17617,8454,7463,5708,35777,1054,1,24.0779220779221,5.15584415584416,6.75324675324675,0.484681853888452,0.288888888888889,0.477996965098634,0.57814871016692,38.6233766233766,0.502127929873595,0.292956243329776,0.47987739115627,0.42362490775955,33.9440227703985,1,1,1,0,0,0,1,1,2004,5,1
Dwyane Wade,2008,2008-09,MIA,1610612748,FALSE,5,2548,RS,79,79,854,1739,0.491,88,278,0.316546762589928,0.765,766,1461,0.524298425735798,27,3048,590,771,89,309,398,589,173,106,272,178,2386,21.9781783681214,4.68026565464896,5.40891840607211,15743,7905,1874,549,17617,8454,7463,5708,35777,1054,1,30.2025316455696,5.0379746835443,7.45569620253165,0.524298425735798,0.316546762589928,0.491086831512364,0.44335825186889,38.5822784810127,0.502127929873595,0.292956243329776,0.47987739115627,0.42362490775955,33.9440227703985,1,1,1,1,1,1,1,1,2008,8,1
Emeka Okafor,2004,2004-05,CHA,1610612766,TRUE,0,2731,RS,73,73,448,1003,0.447,0,1,0,0.609,448,1002,0.447105788423154,22,2598,209,343,275,520,795,64,62,125,125,214,1105,11.9642857142857,9.68668831168831,0.844155844155844,5865,3004,2,0,5867,3004,2325,1362,19053,616,1,15.1369863013699,10.8904109589041,0.876712328767123,0.447105788423154,0,0.446660019940179,0.3419740777667,35.5890410958904,0.512190963341858,0,0.512016362706664,0.396284302028294,30.9301948051948,1,1,1,0,1,0,0,1,2004,5,1
Harrison Barnes,2016,2016-17,DAL,1610612742,FALSE,4,203084,RS,79,79,599,1280,0.468,78,222,0.351351351351351,0.861,521,1058,0.492438563327032,25,2804,242,281,93,301,394,116,65,15,102,128,1518,13.6804635761589,4.88576158940397,1.62582781456954,4819,2300,2003,751,6822,3051,1771,1410,18824,604,1,19.2151898734177,4.9873417721519,1.46835443037975,0.492438563327032,0.351351351351351,0.46796875,0.21953125,35.493670886076,0.477277443452999,0.374937593609586,0.447229551451187,0.259601289944298,31.1655629139073,1,1,0,1,0,1,0,1,2016,5,1
James Harden,2012,2012-13,HOU,1610612745,FALSE,3,201935,RS,78,78,585,1337,0.438,179,486,0.368312757201646,0.851,406,851,0.477085781433608,23,2985,674,792,62,317,379,455,142,38,295,178,2023,25.0883777239709,5.31234866828087,6.28692493946731,7477,3806,6320,2296,13797,6102,7255,6223,28347,826,1,25.9358974358974,4.85897435897436,5.83333333333333,0.477085781433608,0.368312757201646,0.43754674644727,0.592370979805535,38.2692307692308,0.509027684900361,0.363291139240506,0.442270058708415,0.525838950496485,34.318401937046,1,0,0,0,1,0,1,1,2012,4,0
Jason Kidd,2008,2008-09,DAL,1610612742,FALSE,14,467,RS,81,81,257,618,0.416,131,323,0.405572755417957,0.819,126,295,0.427118644067797,36,2886,86,105,85,415,500,702,160,39,185,168,731,12.6017253774263,6.2724658519051,8.69230769230769,9856,4231,5701,1988,15557,6219,3954,3103,50117,1391,1,9.02469135802469,6.17283950617284,8.66666666666667,0.427118644067797,0.405572755417957,0.415857605177994,0.169902912621359,35.6296296296296,0.429281655844156,0.348710752499561,0.399755736967282,0.254162113518031,36.0294751976995,0,0,0,0,1,1,0,0,2008,2,0
Jimmy Butler,2016,2016-17,CHI,1610612741,FALSE,5,202710,RS,76,75,570,1252,0.455,91,248,0.366935483870968,0.865,479,1004,0.477091633466135,27,2809,585,676,129,341,470,417,143,32,159,112,1816,17.0242634315425,5.08838821490468,3.70190641247834,5518,2686,1512,504,7030,3190,3521,2939,19080,577,1,23.8947368421053,6.18421052631579,5.48684210526316,0.477091633466135,0.366935483870968,0.455271565495208,0.539936102236422,36.9605263157895,0.486770569046756,0.333333333333333,0.453769559032717,0.500853485064011,33.0675909878683,1,1,1,0,1,1,1,1,2016,7,1
Kevin Durant,2012,2012-13,OKC,1610612760,FALSE,5,201142,RS,81,81,731,1433,0.51,139,334,0.416167664670659,0.905,592,1099,0.538671519563239,24,3119,679,750,46,594,640,374,116,105,280,143,2280,27.020023557126,7.05771495877503,4.10600706713781,11737,6244,4122,1570,15859,7814,6506,5742,31305,849,1,28.1481481481482,7.90123456790123,4.61728395061728,0.538671519563239,0.416167664670659,0.510118632240056,0.52337752965806,38.5061728395062,0.531992843145608,0.380883066472586,0.492717069172079,0.410240242133804,36.8727915194346,1,1,1,1,1,1,1,1,2012,8,1
Kevin Durant,2016,2016-17,GSW,1610612744,FALSE,9,201142,RS,62,62,551,1026,0.537,117,312,0.375,0.875,434,714,0.607843137254902,28,2070,336,384,39,474,513,300,66,99,138,117,1555,27.020023557126,7.05771495877503,4.10600706713781,11737,6244,4122,1570,15859,7814,6506,5742,31305,849,1,25.0806451612903,8.2741935483871,4.83870967741936,0.607843137254902,0.375,0.537037037037037,0.374269005847953,33.3870967741936,0.531992843145608,0.380883066472586,0.492717069172079,0.410240242133804,36.8727915194346,0,1,1,1,0,1,0,0,2016,4,0
Kevin Love,2012,2012-13,MIN,1610612750,FALSE,4,201567,RS,18,18,105,298,0.352,20,92,0.217391304347826,0.704,85,206,0.412621359223301,24,618,100,142,64,188,252,42,13,9,39,34,330,18.2230014025245,11.1416549789621,2.37868162692847,6371,3057,3302,1223,9673,4280,3875,3210,22803,713,1,18.3333333333333,14,2.33333333333333,0.412621359223301,0.217391304347826,0.352348993288591,0.476510067114094,34.3333333333333,0.479830481870978,0.37038158691702,0.442468727385506,0.400599607153934,31.9817671809257,1,1,0,0,0,0,1,1,2012,4,0
